Triple Lock Verification Certificate (Max Length 14)
===========================================================
Format: Length | Path | G | C | n (if integer) | Status
2      | DU                   | G=-1    | C=2        | n=-2       | VALID CYCLE (!)
2      | UD                   | G=-1    | C=1        | n=-1       | VALID CYCLE (!)
3      | DDU                  | G=1     | C=4        | n=4        | VALID CYCLE (!)
3      | DUD                  | G=1     | C=2        | n=2        | VALID CYCLE (!)
4      | DUDU                 | G=-5    | C=10       | n=-2       | VALID CYCLE (!)
4      | UDUD                 | G=-5    | C=5        | n=-1       | VALID CYCLE (!)
5      | DDDUU                | G=-1    | C=32       | n=-32      | GHOST LOOP (Parity Violation)
5      | DDUDU                | G=-1    | C=20       | n=-20      | VALID CYCLE (!)
5      | DDUUD                | G=-1    | C=16       | n=-16      | GHOST LOOP (Parity Violation)
5      | DUDDU                | G=-1    | C=14       | n=-14      | VALID CYCLE (!)
5      | DUDUD                | G=-1    | C=10       | n=-10      | VALID CYCLE (!)
5      | DUUDD                | G=-1    | C=8        | n=-8       | GHOST LOOP (Parity Violation)
5      | UDDDU                | G=-1    | C=11       | n=-11      | GHOST LOOP (Parity Violation)
5      | UDDUD                | G=-1    | C=7        | n=-7       | VALID CYCLE (!)
5      | UDUDD                | G=-1    | C=5        | n=-5       | VALID CYCLE (!)
5      | UUDDD                | G=-1    | C=4        | n=-4       | GHOST LOOP (Parity Violation)
6      | DDUDDU               | G=7     | C=28       | n=4        | VALID CYCLE (!)
6      | DUDDUD               | G=7     | C=14       | n=2        | VALID CYCLE (!)
6      | DUDUDU               | G=-19   | C=38       | n=-2       | VALID CYCLE (!)
6      | UDDUDD               | G=7     | C=7        | n=1        | VALID CYCLE (!)
6      | UDUDUD               | G=-19   | C=19       | n=-1       | VALID CYCLE (!)
8      | DDDUDDUU             | G=5     | C=200      | n=40       | GHOST LOOP (Parity Violation)
8      | DDUDDUUD             | G=5     | C=100      | n=20       | GHOST LOOP (Parity Violation)
8      | DDUUDDDU             | G=5     | C=80       | n=16       | GHOST LOOP (Parity Violation)
8      | DUDDUUDD             | G=5     | C=50       | n=10       | GHOST LOOP (Parity Violation)
8      | DUDUDUDU             | G=-65   | C=130      | n=-2       | VALID CYCLE (!)
8      | DUUDDDUD             | G=5     | C=40       | n=8        | GHOST LOOP (Parity Violation)
8      | UDDDUDDU             | G=5     | C=65       | n=13       | GHOST LOOP (Parity Violation)
8      | UDDUUDDD             | G=5     | C=25       | n=5        | GHOST LOOP (Parity Violation)
8      | UDUDUDUD             | G=-65   | C=65       | n=-1       | VALID CYCLE (!)
8      | UUDDDUDD             | G=5     | C=20       | n=4        | GHOST LOOP (Parity Violation)
9      | DDUDDUDDU            | G=37    | C=148      | n=4        | VALID CYCLE (!)
9      | DUDDUDDUD            | G=37    | C=74       | n=2        | VALID CYCLE (!)
